Term (EN),Translation (IT),Part of Speech,Description,Domain
Curse of Lycanthropy,Maledizione della Licantropia,noun,Spell (Necromanzia),Spells
Curse Water,Maledire l'Acqua,noun,Spell (Necromanzia),Spells
Cursed Blade,Lama Maledetta,noun,Spell (Necromanzia),Spells
Curtain of Light,Cortina di Luce,noun,Spell (Invocazione),Spells
Daggerspell Stance,Sintonia dei Pugnali Incantati,noun,Spell (Abiurazione),Spells
Damning Darkness,Oscurità Dannata,noun,Spell (Invocazione),Spells
Dance of the Unicorn,Danza dell'Unicorno,noun,Spell (Abiurazione),Spells
Dancing Blade,Lama Danzante,noun,Spell (Trasmutazione),Spells
Dancing Lights,Luci Danzanti,noun,Spell (Invocazione),Spells
Dancing Web,Ragnatela Danzante,noun,Spell (Invocazione),Spells
Darkbolt,Fulmine Oscuro,noun,Spell (Invocazione),Spells
Darkvision,Scurovisione,noun,Spell (Trasmutazione),Spells
"Darkvision, Mass",Scurovisione di Massa,noun,Spell (Trasmutazione),Spells
Daylight,Luce Diurna,noun,Spell (Invocazione),Spells
Daze,Frastornare,noun,Spell (Ammaliamento),Spells
Daze Monster,Frastornare Mostri,noun,Spell (Ammaliamento),Spells
Deafening Breath,Soffio Assordante,noun,Spell (Trasmutazione),Spells
Death Dragon,Drago della Morte,noun,Spell (Necromanzia),Spells
Death Knell,Rintocco di Morte,noun,Spell (Necromanzia),Spells
Death Pact,Patto della Morte,noun,Spell (Necromanzia),Spells
Death Throes,Spasmo Mortale,noun,Spell (Necromanzia),Spells
Death Ward,Interdizione alla Morte,noun,Spell (Necromanzia),Spells
"Death Ward, Mass",Interdizione alla Morte di Massa,noun,Spell (Necromanzia),Spells
Deathwatch,Visione della Morte,noun,Spell (Necromanzia),Spells
Decapitating Scarf,Sciarpa Decapitante,noun,Spell (Trasmutazione),Spells
Decomposition,Decomposizione,noun,Spell (Necromanzia),Spells
Deep Slumber,Sonno Profondo,noun,Spell (Ammaliamento),Spells
Deeper Darkness,Oscurità Profonda,noun,Spell (Invocazione),Spells
Defenestrating Sphere,Sfera Defenestrante,noun,Spell (Invocazione),Spells
Deific Vengeance,Vendetta Deifica,noun,Spell (Evocazione),Spells
Delay Death,Ritarda Morte,noun,Spell (Necromanzia),Spells
Delay Poison,Ritarda Veleno,noun,Spell (Evocazione),Spells
Delayed Blast Fireball,Palla di Fuoco Ritardata,noun,Spell (Invocazione),Spells
Demand,Esigere,noun,Spell (Ammaliamento),Spells
Demon Dirge,Lamento Demoniaco,noun,Spell (Trasmutazione),Spells
Demon Wings,Ali Demoniache,noun,Spell (Trasmutazione),Spells
Demoncall,Richiamo Demoniaco,noun,Spell (Divinazione),Spells
Demonflesh,Carne Demoniaca,noun,Spell (Trasmutazione),Spells
Desecrate,Dissacrare,noun,Spell (Invocazione),Spells
Despoil,Desolazione,noun,Spell (Trasmutazione),Spells
Destruction,Distruzione,noun,Spell (Necromanzia),Spells
Detect Aberration,Individuazione delle Aberrazioni,noun,Spell (Divinazione),Spells
Detect Animals or Plants,Individuazione di Animali o Vegetali,noun,Spell (Divinazione),Spells
Detect Chaos,Individuazione del Caos,noun,Spell (Divinazione),Spells
Detect Evil,Individuazione del Male,noun,Spell (Divinazione),Spells
Detect Favored Enemy,Individuazione del Nemico Prescelto,noun,Spell (Divinazione),Spells
Detect Good,Individuazione del Bene,noun,Spell (Divinazione),Spells
Detect Law,Individuazione della Legge,noun,Spell (Divinazione),Spells
Detect Magic,Individuazione del Magico,noun,Spell (Divinazione),Spells
Detect Poison,Individuazione del Veleno,noun,Spell (Divinazione),Spells
Detect Scrying,Individuazione dello Scrutamento,noun,Spell (Divinazione),Spells
Detect Secret Doors,Individuazione delle Porte Segrete,noun,Spell (Divinazione),Spells
Detect Snares and Pits,Individuazione di Calappi e Trabocchetti,noun,Spell (Divinazione),Spells
Detect Taint,Individuazione della Corruzione,noun,Spell (Divinazione),Spells
Detect Thoughts,Individuazione dei Pensieri,noun,Spell (Divinazione),Spells
Detect Undead,Individuazione dei Non Morti,noun,Spell (Divinazione),Spells
Devil Blight,Rovina Diabolica,noun,Spell (Trasmutazione),Spells
Diamond Spray,Spruzzo di Diamante,noun,Spell (Invocazione),Spells
Dictum,Dettame,noun,Spell (Invocazione),Spells
Dimension Door,Porta Dimensionale,noun,Spell (Evocazione),Spells
Dimensional Anchor,Ancora Dimensionale,noun,Spell (Abiurazione),Spells
Dimensional Lock,Serratura Dimensionale,noun,Spell (Abiurazione),Spells
Diminish Plants,Rimpicciolire Vegetali,noun,Spell (Trasmutazione),Spells
Dirge of Discord,Canto Funebre della Discordia,noun,Spell (Ammaliamento),Spells
Discern Bloodline,Rivela Linea di Sangue,noun,Spell (Divinazione),Spells
Discern Lies,Rivela Bugie,noun,Spell (Divinazione),Spells
Discern Location,Rivela Locazioni,noun,Spell (Divinazione),Spells
Discern Shapechanger,Discernere Mutaforma,noun,Spell (Divinazione),Spells
Discolor Pool,Scolorire Pozza,noun,Spell (Illusione),Spells
Disguise Self,Camuffare Se Stessi,noun,Spell (Illusione),Spells
Disintegrate,Disintegrazione,noun,Spell (Trasmutazione),Spells
Dismissal,Congedo,noun,Spell (Abiurazione),Spells
Dispel Chaos,Dissolvi il Caos,noun,Spell (Abiurazione),Spells
Dispel Evil,Dissolvi il Male,noun,Spell (Abiurazione),Spells
Dispel Good,Dissolvi il Bene,noun,Spell (Abiurazione),Spells
Dispel Law,Dissolvi la Legge,noun,Spell (Abiurazione),Spells
Dispel Magic,Dissolvi Magie,noun,Spell (Abiurazione),Spells
"Dispel Magic, Greater",Dissolvi Magie Superiore,noun,Spell (Abiurazione),Spells
Dispelling Breath,Soffio Dissolvente,noun,Spell (Abiurazione),Spells
Displacement,Distorsione,noun,Spell (Illusione),Spells
Disrupt Undead,Distruggere Non Morti,noun,Spell (Necromanzia),Spells
Disrupting Weapon,Arma Distruttiva,noun,Spell (Trasmutazione),Spells
Dissonant Chord,Accordo Dissonante,noun,Spell (Invocazione),Spells
Distilled Joy,Gioia Distillata,noun,Spell (Trasmutazione),Spells
Distort Speech,Distorcere Discorso,noun,Spell (Trasmutazione),Spells
Distract Assailant,Distrarre Assalitore,noun,Spell (Ammaliamento),Spells
Divine Agility,Agilità Divina,noun,Spell (Trasmutazione),Spells
Divine Favor,Favore Divino,noun,Spell (Invocazione),Spells
Divine Insight,Intuizione Divina,noun,Spell (Divinazione),Spells
Divine Inspiration,Ispirazione Divina,noun,Spell (Divinazione),Spells
Divine Power,Potere Divino,noun,Spell (Invocazione),Spells
Divine Sacrifice,Sacrificio Divino,noun,Spell (Necromanzia),Spells
Dolorous Motes,Pagliuzze Dolorose,noun,Spell (Ammaliamento),Spells
Dominate Animal,Dominare Animali,noun,Spell (Ammaliamento),Spells
Dominate Monster,Dominare Mostri,noun,Spell (Ammaliamento),Spells
Dominate Person,Dominare Persone,noun,Spell (Ammaliamento),Spells
Doom,Devastazione,noun,Spell (Ammaliamento),Spells
Doomtide,Fato Altalenante,noun,Spell (Illusione),Spells
Draconic Might,Potere Draconico,noun,Spell (Trasmutazione),Spells
Draconic Polymorph,Metamorfosi Draconica,noun,Spell (Trasmutazione),Spells
Dragon Breath,Soffio del Drago,noun,Spell (Trasmutazione),Spells
Dragon Cloud,Nube del Drago,noun,Spell (Evocazione),Spells
Dragonsight,Vista del Drago,noun,Spell (Trasmutazione),Spells
Dragonskin,Pelle del Drago,noun,Spell (Trasmutazione),Spells
Dream,Sogno,noun,Spell (Ammaliamento),Spells
Dream Walk,Camminare nei Sogni,noun,Spell (Evocazione),Spells
Dreaming Puppet,Burattino Sognante,noun,Spell (Ammaliamento),Spells
Duelward,Interdizione al Duello,noun,Spell (Abiurazione),Spells
Eagle’s Splendor,Splendore dell'Aquila,noun,Spell (Trasmutazione),Spells
"Eagle’s Splendor, Mass",Splendore dell'Aquila di Massa,noun,Spell (Trasmutazione),Spells
Earth Glide,Scorrere sulla Terra,noun,Spell (Trasmutazione),Spells
Earth Hammer,Martello della Terra,noun,Spell (Trasmutazione),Spells
Earthbind,Vincolato a Terra,noun,Spell (Trasmutazione),Spells
Earthbolt,Fulmine Terrestre,noun,Spell (Invocazione),Spells
Earthen Grasp,Stretta di Terra,noun,Spell (Invocazione Minima),Spells
Earthquake,Terremoto,noun,Spell (Invocazione),Spells
Ease Pain,Lenire Dolore,noun,Spell (Evocazione),Spells
Easy Climb,Scalata Facilitata,noun,Spell (Trasmutazione),Spells
Easy Trail,Percorso Agevole,noun,Spell (Abiurazione),Spells
Ectoplasmic Armor,Armatura Ectoplasmica,noun,Spell (Abiurazione),Spells
Ectoplasmic Feedback,Ritorsione Ectoplasmica,noun,Spell (Abiurazione),Spells
Eladrin Form,Forma Eladrin,noun,Spell (Trasmutazione),Spells
Elation,Sollievo,noun,Spell (Ammaliamento),Spells
Elemental Burst,Esplosione Elementale,noun,Spell (Invocazione),Spells
Elemental Swarm,Sciame Elementale,noun,Spell (Evocazione),Spells
Elemental Ward,Interdizione Elementale,noun,Spell (Abiurazione),Spells
Embrace the Wild,Balla con la Natura,noun,Spell (Trasmutazione),Spells
Emerald Burst,Esplosione di Smeraldo,noun,Spell (Invocazione),Spells
Emerald Flame Fist,Pugno di Fiamme Smeraldo,noun,Spell (Invocazione),Spells
Empyreal Ecstasy,Estasi Empirea,noun,Spell (Abiurazione),Spells
End to Strife,Fine delle Sofferenze,noun,Spell (Ammaliamento),Spells
Endure Elements,Contrastare Elementi,noun,Spell (Abiurazione),Spells
Energetic Healing,Guarigione Energetica,noun,Spell (Evocazione),Spells
Energize Potion,Energizzare Pozione,noun,Spell (Trasmutazione),Spells
Energy Drain,Risucchio di Energia,noun,Spell (Necromanzia),Spells
Energy Ebb,Riflusso di Energia,noun,Spell (Necromanzia),Spells
Energy Immunity,Immunità Energetica,noun,Spell (Abiurazione),Spells
Energy Vortex,Vortice di Energia,noun,Spell (Invocazione),Spells
Enervating Breath,Soffio Debilitante,noun,Spell (Necromanzia),Spells
Enervation,Debilitazione,noun,Spell (Necromanzia),Spells
Enhance Familiar,Potenziare Famiglio,noun,Spell (Universale),Spells
Enlarge Person,Ingrandire Persone,noun,Spell (Trasmutazione),Spells
"Enlarge Person, Mass",Ingrandire Persone di Massa,noun,Spell (Trasmutazione),Spells
Entangle,Intralciare,noun,Spell (Trasmutazione),Spells
Entangling Scarf,Sciarpa Intralciante,noun,Spell (Trasmutazione),Spells
Entangling Staff,Bastone Intralciante,noun,Spell (Trasmutazione),Spells
Enthrall,Estasiare,noun,Spell (Ammaliamento),Spells
Entice Gift,Dono Allettante,noun,Spell (Ammaliamento),Spells
Entropic Shield,Scudo Entropico,noun,Spell (Abiurazione),Spells
Enveloping Cocoon,Bozzolo Avvolgente,noun,Spell (Invocazione),Spells
Erase,Cancellare,noun,Spell (Trasmutazione),Spells
Estanna's Stew,Stufato di Estanna,noun,Spell (Evocazione),Spells
Ethereal Breath,Soffio Etereo,noun,Spell (Trasmutazione),Spells
Ethereal Jaunt,Transizione Eterea,noun,Spell (Trasmutazione),Spells
Etherealness,Forma Eterea,noun,Spell (Trasmutazione),Spells
Evil Glare,Sguardo Malvagio,noun,Spell (Necromanzia),Spells
Exacting Shot,Tiro Accurato,noun,Spell (Trasmutazione),Spells
Exalted Fury,Furia Eroica,noun,Spell (Invocazione),Spells
Exalted Raiment,Veste Eroica,noun,Spell (Abiurazione),Spells
Exorcism,Esorcismo,noun,Spell (Abiurazione),Spells
Expeditious Retreat,Ritirata Rapida,noun,Spell (Trasmutazione),Spells
"Expeditious Retreat, Swift",Ritirata Rapida Veloce,noun,Spell (Trasmutazione),Spells
Explosive Runes,Rune Esplosive,noun,Spell (Abiurazione),Spells
Extract Gift,Estrarre Dono,noun,Spell (Necromanzia),Spells
Eye of Stone,Occhio di Pietra,noun,Spell (Divinazione),Spells
Eyebite,Sguardo Penetrante,noun,Spell (Necromanzia),Spells
Eyes of the Avoral,Occhi dell'Avoral,noun,Spell (Trasmutazione),Spells
Eyes of the King,Occhi del Re,noun,Spell (Evocazione),Spells
Fabricate,Fabbricare,noun,Spell (Trasmutazione),Spells
Faerie Fire,Luminescenza,noun,Spell (Invocazione),Spells
Faerinaal's Hymn,Inno di Faerinaal,noun,Spell (Ammaliamento),Spells
False Gravity,Falsa Gravità,noun,Spell (Trasmutazione),Spells
False Life,Vita Falsata,noun,Spell (Necromanzia),Spells
False Vision,Visione Falsa,noun,Spell (Illusione),Spells
Familiar Pocket,Tasca per Famiglio,noun,Spell (Universale),Spells
Fangs of the Vampire King,Zanne del Re dei Vampiri,noun,Spell (Trasmutazione),Spells
Feather Fall,Caduta Morbida,noun,Spell (Trasmutazione),Spells
Feeblemind,Regressione Mentale,noun,Spell (Ammaliamento),Spells
Fell the Greatest Foe,Abbattere Nemici Giganteschi,noun,Spell (Trasmutazione),Spells
Field of Ghouls,Campo di Ghoul,noun,Spell (Necromanzia),Spells
Fiendform,Forma Immonda,noun,Spell (Trasmutazione),Spells
Fiendish Clarity,Nitidezza Immonda,noun,Spell (Divinazione),Spells
Fiery Eyes,Occhi Infuocati,noun,Spell (Invocazione),Spells
Find the Gap,Scopri lo Spiraglio,noun,Spell (Divinazione),Spells
Find the Path,Scopri il Percorso,noun,Spell (Divinazione),Spells
Find Traps,Scopri Trappole,noun,Spell (Divinazione),Spells
Finding the Center,Trovare il Centro,noun,Spell (Abiurazione),Spells
Finger of Death,Dito della Morte,noun,Spell (Necromanzia),Spells
Fire Breath,Soffio di Fuoco,noun,Spell (Invocazione),Spells
Fire in the Blood,Fuoco nel Sangue,noun,Spell (Trasmutazione),Spells
Fire Seeds,Semi di Fuoco,noun,Spell (Invocazione),Spells
Fire Shield,Scudo di Fuoco,noun,Spell (Invocazione),Spells
"Fire Shield, Mass",Scudo di Fuoco di Massa,noun,Spell (Invocazione),Spells
Fire Shuriken,Shuriken di Fuoco,noun,Spell (Invocazione),Spells
Fire Storm,Tempesta di Fuoco,noun,Spell (Invocazione),Spells
Fire Trap,Trappola di Fuoco,noun,Spell (Abiurazione),Spells
Fire Wings,Ali di Fuoco,noun,Spell (Trasmutazione),Spells
Fireball,Palla di Fuoco,noun,Spell (Invocazione),Spells
Fireburst,Esplosione di Fuoco,noun,Spell (Invocazione),Spells
"Fireburst, Greater",Esplosione di Fuoco Superiore,noun,Spell (Invocazione),Spells
Fires of Purity,Fiamme della Purezza,noun,Spell (Invocazione),Spells
Flame Arrow,Freccia Infuocata,noun,Spell (Trasmutazione),Spells
Flame Blade,Lama Infuocata,noun,Spell (Invocazione),Spells
Flame of Faith,Fiamma della Fede,noun,Spell (Invocazione),Spells
Flame Strike,Colpo Infuocato,noun,Spell (Invocazione),Spells
Flaming Sphere,Sfera Infuocata,noun,Spell (Invocazione),Spells
Flare,Lampo,noun,Spell (Invocazione),Spells
Flensing,Scuoiamento,noun,Spell (Trasmutazione),Spells
Flesh to Stone,Carne in Pietra,noun,Spell (Trasmutazione),Spells
Flight of the Dragon,Volo del Drago,noun,Spell (Trasmutazione),Spells
Floating Disk,Disco Fluttuante di Tenser,noun,Spell (Invocazione),Spells
Fly,Volare,noun,Spell (Trasmutazione),Spells
"Fly, Mass",Volare di Massa,noun,Spell (Trasmutazione),Spells
"Fly, Swift",Volare Veloce,noun,Spell (Trasmutazione),Spells
Focus Touchstone Energy,Focalizza Energia della Piattaforma,noun,Spell (Trasmutazione),Spells
Focusing Chant,Cantilena di Concentrazione,noun,Spell (Ammaliamento),Spells
Foebane,Anatema del Nemico,noun,Spell (Invocazione),Spells
Fog Cloud,Nube di Nebbia,noun,Spell (Evocazione),Spells
Forbiddance,Proibizione,noun,Spell (Abiurazione),Spells
Force Whip,Frusta di Forza,noun,Spell (Invocazione),Spells
Forcecage,Gabbia di Forza,noun,Spell (Invocazione),Spells
Forceful Hand,Mano Possente di Bigby,noun,Spell (Invocazione),Spells
Foresight,Previsione,noun,Spell (Divinazione),Spells
Forestfold,Mimetismo Superiore,noun,Spell (Trasmutazione),Spells
Fortify Familiar,Fortificare Famiglio,noun,Spell (Universale),Spells
Fox’s Cunning,Astuzia della Volpe,noun,Spell (Trasmutazione),Spells
"Fox’s Cunning, Mass",Astuzia della Volpe di massa,noun,Spell (Trasmutazione),Spells
Freedom,Libertà,noun,Spell (Abiurazione),Spells
Freedom of Movement,Libertà di Movimento,noun,Spell (Abiurazione),Spells
Freezing Fog,Nebbia Congelante,noun,Spell (Evocazione),Spells
Freezing Sphere,Sfera Congelante di Otiluke,noun,Spell (Invocazione),Spells
Friendly Face,Faccia Amica,noun,Spell (Illusione),Spells
Gaseous Form,Forma Gassosa,noun,Spell (Trasmutazione),Spells
Gate,Portale,noun,Spell (Evocazione),Spells
"Geas, Lesser",Costrizione Inferiore,noun,Spell (Ammaliamento),Spells
Geas/Quest,Costrizione/Cerca,noun,Spell (Ammaliamento),Spells
Gentle Repose,Riposo Inviolato,noun,Spell (Necromanzia),Spells
Ghost Light,Luce Fantasma,noun,Spell (Necromanzia),Spells
Ghost Sound,Suono Fantasma,noun,Spell (Illusione),Spells
Ghost Touch Armor,Armatura del Tocco del Fantasma,noun,Spell (Trasmutazione),Spells
Ghost Touch Weapon,Arma Tocco del Fansma,noun,Spell (Trasmutazione),Spells
Ghost Trap,Trappola Fantasma,noun,Spell (Abiurazione),Spells
Ghostform,Forma del Fantasma,noun,Spell (Trasmutazione),Spells
Ghoul Gauntlet,Guanto del Ghoul,noun,Spell (Necromanzia),Spells
Ghoul Gesture,Gesto del Ghoul,noun,Spell (Necromanzia),Spells
Ghoul Glyph,Glifo del Ghoul,noun,Spell (Necromanzia),Spells
Ghoul Light,Luce del Ghoul,noun,Spell (Necromanzia),Spells
Ghoul Touch,Tocco del Ghoul,noun,Spell (Necromanzia),Spells
Giant Size,Taglia Gigante,noun,Spell (Trasmutazione),Spells
Giant Vermin,Parassiti Giganti,noun,Spell (Trasmutazione),Spells
Glibness,Loquacità,noun,Spell (Trasmutazione),Spells
Glitterdust,Polvere Luccicante,noun,Spell (Evocazione),Spells
Globe of Invulnerability,Globo di Invulnerabilità,noun,Spell (Abiurazione),Spells
"Globe of Invulnerability, Lesser",Globo di Invulnerabilità Inferiore,noun,Spell (Abiurazione),Spells
Glorious Raiment,Veste Gloriosa,noun,Spell (Abiurazione),Spells
Glory of the Martyr,Gloria del Martire,noun,Spell (Abiurazione),Spells
Glyph of Warding,Glifo di Interdizione,noun,Spell (Abiurazione),Spells
"Glyph of Warding, Greater",Glifo di Interdizione Superiore,noun,Spell (Abiurazione),Spells
Golden Barding,Bardatura Dorata,noun,Spell (Evocazione),Spells
Golem Strike,Colpire Golem,noun,Spell (Divinazione),Spells
Good Hope,Buone Speranze,noun,Spell (Ammaliamento),Spells
Goodberry,Bacche Benefiche,noun,Spell (Abiurazione),Spells
Grasping Hand,Mano Stringente di Bigby,noun,Spell (Invocazione),Spells
Grave Strike,Colpire Non Morti,noun,Spell (Divinazione),Spells
Grease,Unto,noun,Spell (Evocazione),Spells
Guards and Wards,Vigilanza e Interdizione,noun,Spell (Abiurazione),Spells
Guidance,Guida,noun,Spell (Divinazione),Spells
Guided Shot,Tiro Guidato,noun,Spell (Divinazione),Spells
Gust of Wind,Folata di Vento,noun,Spell (Invocazione),Spells
Hail of Stone,Grandinata di Pietre,noun,Spell (Evocazione),Spells
Hallow,Santificare,noun,Spell (Invocazione),Spells
Hallucinatory Terrain,Terreno Illusorio,noun,Spell (Illusione),Spells
Halt Undead,Fermare Non Morti,noun,Spell (Necromanzia),Spells
Hamatula Barbs,Uncini dell'Hamatula,noun,Spell (Trasmutazione),Spells
Hammer of Righteousness,Martello della Giustizia,noun,Spell (Invocazione),Spells
Harm,Ferire,noun,Spell (Necromanzia),Spells
"Harm, Greater",Ferire Superiore,noun,Spell (Necromanzia),Spells
"Harm, Mass",Ferire di Massa,noun,Spell (Necromanzia),Spells
Harmonic Chorus,Coro Armonico,noun,Spell (Ammaliamento),Spells
Harmonize,Armonizzare,noun,Spell (Trasmutazione),Spells
"Harmonize, Greater",Armonizzare Superiore,noun,Spell (Trasmutazione),Spells
Haste,Velocità,noun,Spell (Trasmutazione),Spells
"Haste, Swift",Velocità Veloce,noun,Spell (Trasmutazione),Spells
Haunt Shift,Traslazione Infestante,noun,Spell (Necromanzia),Spells
Hawkeye,Occhio di Falco,noun,Spell (Trasmutazione),Spells
Heal Mount,Guarire Cavalcatura,noun,Spell (Evocazione),Spells
"Heal, Mass",Guarigione di Massa,noun,Spell (Evocazione),Spells
Healing Lorecall,Sapienza di Guarigione,noun,Spell (Divinazione),Spells
Healing Touch,Tocco di Guarigione,noun,Spell (Necromanzia),Spells
Healthful Rest,Riposo Ristoratore,noun,Spell (Evocazione),Spells
Heart of Stone,Cuore di Pietra,noun,Spell (Necromanzia),Spells
Heart Ripper,Strappacuore,noun,Spell (Necromanzia),Spells
Heart's Ease,Conforto del Cuore,noun,Spell (Ammaliamento),Spells
Heat Metal,Riscaldare il Metallo,noun,Spell (Trasmutazione),Spells
Heaven's Trumpet,Tromba del Paradiso,noun,Spell (Invocazione),Spells
Heavenly Host,Schiera Celeste,noun,Spell (Evocazione),Spells
Heavenly Lightning,Fulmine Celeste,noun,Spell (Invocazione),Spells
Heavenly Lightning Storm,Tempesta di Fulmini Celesti,noun,Spell (Invocazione),Spells
Hellish Horde,Orda Infernale,noun,Spell (Evocazione),Spells
Helping Hand,Mano in Aiuto,noun,Spell (Invocazione),Spells
Herald's Call,Richiamo dell'Araldo,noun,Spell (Ammaliamento),Spells
Heroes’ Feast,Banchetto degli Eroi,noun,Spell (Evocazione),Spells
Heroism,Eroismo,noun,Spell (Ammaliamento),Spells
"Heroism, Greater",Eroismo Superiore,noun,Spell (Ammaliamento),Spells
